,Minnesota,2. Enteric Fermentation Emissions in Minnesota,,,,,,,,,,,,,
15,1996,Feedlot Heifers,97.5,x,37.8,=," 3,682,216 ",=,0.0037,=,0.028,=,0.103,,
16,1996,Feedlot Steer,179.7,x,36.8,=," 6,607,398 ",=,0.0066,=,0.050,=,0.185,,
12,1996,Bulls,40.0,x,93.8,=," 3,750,881 ",=,0.0038,=,0.029,=,0.105,,
,1996,Other,,,,,,,,,,,,,
28,1996,Sheep,185.0,x,8.0,=," 1,480,000 ",=,0.0015,=,0.011,=,0.041,,
31,1996,Goats,9.8,x,5.0,=," 48,760 ",=,0.0000,=,0.000,=,0.001,,
17,1996,Swine,"4,775.0",x,1.5,=," 7,162,500 ",=,0.0072,=,0.055,=,0.201,,
32,1996,Horses,64.4,x,18.0,=," 1,158,880 ",=,0.0012,=,0.009,=,0.032,,
,,TOTAL,,,,," 191,927,364 ",,0.1919,,1.466,,5.374,,
,,,,,,,,,,,,,,,
,,Enteric Fermentation,,,1997,,,,,,,,,,
,,,Number of Animals        ('000 head),,Emission Factor     (kg CH4/head),,Emissions       (kg CH4),,Emissions  (MMTCH4),,Emissions  (MMTCE),,Emissions  (MMTCO2E),,
9,,Dairy Cattle,,,,,,,,,,,,,
2,1997,Dairy Cows,580.0,x,112.5,=," 65,238,502 ",=,0.0652,=,0.498,=,1.827,,
3,1997,Dairy Replacement Heifers,320.0,x,53.9,=," 17,240,745 ",=,0.0172,=,0.132,=,0.483,,
4,1997,   Replacements 0-12 mos.,0.0,x,42.9,=, -   ,=,0.0000,=,0.000,=,0.000,,
5,1997,   Replacements 12-24 mos.,0.0,x,64.9,=, -   ,=,0.0000,=,0.000,=,0.000,,
,1997,Beef Cattle,,,,,,,,,,,,,
6,1997,Beef Cows,410.0,x,90.6,=," 37,153,679 ",=,0.0372,=,0.284,=,1.040,,
7,1997,Beef Replacement Heifers,90.0,x,61.5,=," 5,531,001 ",=,0.0055,=,0.042,=,0.155,,
8,1997,   Replacements 0-12 mos.,0.0,x,56.9,=, -   ,=,0.0000,=,0.000,=,0.000,,
9,1997,   Replacements 12-24 mos.,0.0,x,66.0,=, -   ,=,0.0000,=,0.000,=,0.000,,
10,1997,Heifer Stockers,180.0,x,57.6,=," 10,364,742 ",=,0.0104,=,0.079,=,0.290,,
11,1997,Steer Stockers,470.0,x,57.0,=," 26,778,294 ",=,0.0268,=,0.204,=,0.750,,
15,1997,Feedlot Heifers,87.1,x,37.6,=," 3,270,873 ",=,0.0033,=,0.025,=,0.092,,
16,1997,Feedlot Steer,155.5,x,36.6,=," 5,683,688 ",=,0.0057,=,0.043,=,0.159,,
12,1997,Bulls,40.0,x,93.8,=," 3,753,070 ",=,0.0038,=,0.029,=,0.105,,
,1997,Other,,,,,,,,,,,,,
28,1997,Sheep,180.0,x,8.0,=," 1,440,000 ",=,0.0014,=,0.011,=,0.040,,
31,1997,Goats,9.5,x,5.0,=," 47,630 ",=,0.0000,=,0.000,=,0.001,,
17,1997,Swine,"5,425.0",x,1.5,=," 8,137,500 ",=,0.0081,=,0.062,=,0.228,,
32,1997,Horses,69.7,x,18.0,=," 1,254,402 ",=,0.0013,=,0.010,=,0.035,,
,,TOTAL,,,,," 185,894,127 ",,0.1859,,1.420,,5.205,,
,,,,,,,,,,,,,,,
,,Enteric Fermentation,,,1998,,,,,,,,,,
,,,Number of Animals        ('000 head),,Emission Factor     (kg CH4/head),,Emissions       (kg CH4),,Emissions  (MMTCH4),,Emissions  (MMTCE),,Emissions  (MMTCO2E),,
10,,Dairy Cattle,,,,,,,,,,,,,
2,1998,Dairy Cows,555.0,x,114.2,=," 63,390,435 ",=,0.0634,=,0.484,=,1.775,,
3,1998,Dairy Replacement Heifers,290.0,x,53.6,=," 15,555,769 ",=,0.0156,=,0.119,=,0.436,,
4,1998,   Replacements 0-12 mos.,0.0,x,42.7,=, -   ,=,0.0000,=,0.000,=,0.000,,
5,1998,   Replacements 12-24 mos.,0.0,x,64.6,=, -   ,=,0.0000,=,0.000,=,0.000,,
,1998,Beef Cattle,,,,,,,,,,,,,
6,1998,Beef Cows,395.0,x,91.0,=," 35,960,354 ",=,0.0360,=,0.275,=,1.007,,
7,1998,Beef Replacement Heifers,85.0,x,61.9,=," 5,263,548 ",=,0.0053,=,0.040,=,0.147,,
8,1998,   Replacements 0-12 mos.,0.0,x,57.3,=, -   ,=,0.0000,=,0.000,=,0.000,,
9,1998,   Replacements 12-24 mos.,0.0,x,66.5,=, -   ,=,0.0000,=,0.000,=,0.000,,
10,1998,Heifer Stockers,165.0,x,58.2,=," 9,601,800 ",=,0.0096,=,0.073,=,0.269,,
11,1998,Steer Stockers,455.0,x,57.2,=," 26,041,931 ",=,0.0260,=,0.199,=,0.729,,
15,1998,Feedlot Heifers,78.1,x,37.4,=," 2,923,232 ",=,0.0029,=,0.022,=,0.082,,
16,1998,Feedlot Steer,141.0,x,36.5,=," 5,140,704 ",=,0.0051,=,0.039,=,0.144,,
12,1998,Bulls,35.0,x,94.4,=," 3,303,070 ",=,0.0033,=,0.025,=,0.092,,
,1998,Other,,,,,,,,,,,,,
28,1998,Sheep,165.0,x,8.0,=," 1,320,000 ",=,0.0013,=,0.010,=,0.037,,
31,1998,Goats,11.6,x,5.0,=," 57,872 ",=,0.0001,=,0.000,=,0.002,,
17,1998,Swine,"5,825.0",x,1.5,=," 8,737,500 ",=,0.0087,=,0.067,=,0.245,,
32,1998,Horses,74.3,x,18.0,=," 1,337,494 ",=,0.0013,=,0.010,=,0.037,,
,,TOTAL,,,,," 178,633,709 ",,0.1786,,1.364,,5.002,,
,,,,,,,,,,,,,,,
,,Enteric Fermentation,,,1999,,,,,,,,,,
,,,Number of Animals        ('000 head),,Emission Factor     (kg CH4/head),,Emissions       (kg CH4),,Emissions  (MMTCH4),,Emissions  (MMTCE),,Emissions  (MMTCO2E),,
11,,Dairy Cattle,,,,,,,,,,,,,
2,1999,Dairy Cows,545.0,x,118.3,=," 64,462,408 ",=,0.0645,=,0.492,=,1.805,,
3,1999,Dairy Replacement Heifers,290.0,x,54.9,=," 15,915,692 ",=,0.0159,=,0.122,=,0.446,,
4,1999,   Replacements 0-12 mos.,0.0,x,43.7,=, -   ,=,0.0000,=,0.000,=,0.000,,
5,1999,   Replacements 12-24 mos.,0.0,x,66.1,=, -   ,=,0.0000,=,0.000,=,0.000,,
,1999,Beef Cattle,,,,,,,,,,,,,
6,1999,Beef Cows,385.0,x,90.9,=," 34,991,837 ",=,0.0350,=,0.267,=,0.980,,
7,1999,Beef Replacement Heifers,90.0,x,61.7,=," 5,554,188 ",=,0.0056,=,0.042,=,0.156,,
8,1999,   Replacements 0-12 mos.,0.0,x,57.1,=, -   ,=,0.0000,=,0.000,=,0.000,,
