mn_doc_utility_id,utility_name,eia_utility_id
226,Ceylon Public Utilities,NULL
227,City of Nielsville,NULL
228,City of Dundee,NULL
229,City of Dunnell,NULL
230,Eitzen Light and Power,NULL
231,City of Kandiyohi,NULL
232,City of Mabel,NULL
235,Buhl Public Utilities,NULL
260,Heartland Power Coop,NULL
261,City of Rushmore,NULL
262,Iowa Lakes Electric Coop,NULL
263,"H-D Electric Coop, Inc",NULL
264,Missouri River Energy Services,NULL
266,Minnesota Municipal Power Agency,NULL
