"","sector","kwh_delivered","util_reported_co2e","mWh_delivered","city_name","utility_name","year","source","sector_mapped","ctu_class","ctu_name"
"1","Business *",NA,NA,NA,"City of Apple Valley","Xcel Energy",2015,"Electricity","Business","CITY","Apple Valley"
"2","Residential",NA,NA,NA,"City of Apple Valley","Xcel Energy",2015,"Electricity","residential","CITY","Apple Valley"
"3","Street Lighting - Non-Metered/Customer Owned",5108,2.073848,5.108,"City of Apple Valley","Xcel Energy",2015,"Electricity","commercial","CITY","Apple Valley"
"4","Street Lighting - Non-Metered/Xcel-Owned",10869,4.412814,10.869,"City of Apple Valley","Xcel Energy",2015,"Electricity","commercial","CITY","Apple Valley"
"5","Business *",8002540,3249.03124,8002.54,"City of Big Lake","Xcel Energy",2015,"Electricity","Business","CITY","Big Lake"
"6","Residential",12555109,5097.374254,12555.109,"City of Big Lake","Xcel Energy",2015,"Electricity","residential","CITY","Big Lake"
"7","Street Lighting - Metered",23423,9.509738,23.423,"City of Big Lake","Xcel Energy",2015,"Electricity","commercial","CITY","Big Lake"
"8","Street Lighting - Non-Metered/Customer Owned",4351,1.766506,4.351,"City of Big Lake","Xcel Energy",2015,"Electricity","commercial","CITY","Big Lake"
"9","Street Lighting - Non-Metered/Xcel-Owned",174064,70.669984,174.064,"City of Big Lake","Xcel Energy",2015,"Electricity","commercial","CITY","Big Lake"
"10","Business *",78561015.01,31895.77209406,78561.01501,"City of Blaine","Xcel Energy",2015,"Electricity","Business","CITY","Blaine"
"11","Residential",23989087,9739.569322,23989.087,"City of Blaine","Xcel Energy",2015,"Electricity","residential","CITY","Blaine"
"12","Street Lighting - Metered",60173,24.430238,60.173,"City of Blaine","Xcel Energy",2015,"Electricity","commercial","CITY","Blaine"
"13","Street Lighting - Non-Metered/Customer Owned",65518,26.600308,65.518,"City of Blaine","Xcel Energy",2015,"Electricity","commercial","CITY","Blaine"
"14","Street Lighting - Non-Metered/Xcel-Owned",128197,52.047982,128.197,"City of Blaine","Xcel Energy",2015,"Electricity","commercial","CITY","Blaine"
"15","Business",1088474312.02,441920.57068012,1088474.31202,"City of Bloomington","Xcel Energy",2015,"Electricity","Business","CITY","Bloomington"
"16","Residential",262146965.09,106431.66782654,262146.96509,"City of Bloomington","Xcel Energy",2015,"Electricity","residential","CITY","Bloomington"
"17","Street Lighting - Metered",1708640,693.70784,1708.64,"City of Bloomington","Xcel Energy",2015,"Electricity","commercial","CITY","Bloomington"
"18","Street Lighting - Non-Metered/Customer Owned",1309494,531.654564,1309.494,"City of Bloomington","Xcel Energy",2015,"Electricity","commercial","CITY","Bloomington"
"19","Street Lighting - Non-Metered/Xcel-Owned",1910784,775.778304,1910.784,"City of Bloomington","Xcel Energy",2015,"Electricity","commercial","CITY","Bloomington"
"20","Business",146818989.84,59608.50987504,146818.98984,"City of Brooklyn Center","Xcel Energy",2015,"Electricity","Business","CITY","Brooklyn Center"
"21","Residential",77529013.92,31476.77965152,77529.01392,"City of Brooklyn Center","Xcel Energy",2015,"Electricity","residential","CITY","Brooklyn Center"
"22","Street Lighting - Metered",764477,310.377662,764.477,"City of Brooklyn Center","Xcel Energy",2015,"Electricity","commercial","CITY","Brooklyn Center"
"23","Street Lighting - Non-Metered/Customer Owned",135161,54.875366,135.161,"City of Brooklyn Center","Xcel Energy",2015,"Electricity","commercial","CITY","Brooklyn Center"
"24","Street Lighting - Non-Metered/Xcel-Owned",573754,232.944124,573.754,"City of Brooklyn Center","Xcel Energy",2015,"Electricity","commercial","CITY","Brooklyn Center"
"25","Commercial",166474312.9,67588.5710374,166474.3129,"City of Brooklyn Park","Xcel Energy",2015,"Electricity","commercial","CITY","Brooklyn Park"
"26","Industrial",229986381,93374.470686,229986.381,"City of Brooklyn Park","Xcel Energy",2015,"Electricity","industrial","CITY","Brooklyn Park"
"27","Residential",217900066.18,88467.42686908,217900.06618,"City of Brooklyn Park","Xcel Energy",2015,"Electricity","residential","CITY","Brooklyn Park"
"28","Street Lighting - Metered",856121,347.585126,856.121,"City of Brooklyn Park","Xcel Energy",2015,"Electricity","commercial","CITY","Brooklyn Park"
"29","Street Lighting - Non-Metered/Customer Owned",791571,321.377826,791.571,"City of Brooklyn Park","Xcel Energy",2015,"Electricity","commercial","CITY","Brooklyn Park"
"30","Street Lighting - Non-Metered/Xcel-Owned",1636987,664.616722,1636.987,"City of Brooklyn Park","Xcel Energy",2015,"Electricity","commercial","CITY","Brooklyn Park"
"31","Commercial",41869165,16998.88099,41869.165,"City of Burnsville","Xcel Energy",2015,"Electricity","commercial","CITY","Burnsville"
"32","Industrial",65562499,26618.374594,65562.499,"City of Burnsville","Xcel Energy",2015,"Electricity","industrial","CITY","Burnsville"
"33","Residential",38833172.02,15766.26784012,38833.17202,"City of Burnsville","Xcel Energy",2015,"Electricity","residential","CITY","Burnsville"
"34","Street Lighting - Metered",147142,59.739652,147.142,"City of Burnsville","Xcel Energy",2015,"Electricity","commercial","CITY","Burnsville"
"35","Street Lighting - Non-Metered/Customer Owned",22148,8.992088,22.148,"City of Burnsville","Xcel Energy",2015,"Electricity","commercial","CITY","Burnsville"
"36","Street Lighting - Non-Metered/Xcel-Owned",278084,112.902104,278.084,"City of Burnsville","Xcel Energy",2015,"Electricity","commercial","CITY","Burnsville"
"37","Business",589213438,398308.284088,589213.438,"City of Centennial","Xcel Energy",2015,"Electricity","Business","CITY","Centennial"
"38","Residential",247831467.01,167534.07169876,247831.46701,"City of Centennial","Xcel Energy",2015,"Electricity","residential","CITY","Centennial"
"39","Street Lighting - Metered",30567,20.663292,30.567,"City of Centennial","Xcel Energy",2015,"Electricity","commercial","CITY","Centennial"
"40","Street Lighting - Non-Metered/Xcel-Owned",1557958,1053.179608,1557.958,"City of Centennial","Xcel Energy",2015,"Electricity","commercial","CITY","Centennial"
"41","Business *",2907160,1180.30696,2907.16,"City of Cologne","Xcel Energy",2015,"Electricity","Business","CITY","Cologne"
"42","Residential",4816974.01,1955.69144806,4816.97401,"City of Cologne","Xcel Energy",2015,"Electricity","residential","CITY","Cologne"
"43","Street Lighting - Metered",31447,12.767482,31.447,"City of Cologne","Xcel Energy",2015,"Electricity","commercial","CITY","Cologne"
"44","Street Lighting - Non-Metered/Xcel-Owned",66621,27.048126,66.621,"City of Cologne","Xcel Energy",2015,"Electricity","commercial","CITY","Cologne"
"45","Business",47715964.86,19372.68173316,47715.96486,"City of Columbia Heights","Xcel Energy",2015,"Electricity","Business","CITY","Columbia Heights"
"46","Residential",52481903,21307.652618,52481.903,"City of Columbia Heights","Xcel Energy",2015,"Electricity","residential","CITY","Columbia Heights"
"47","Street Lighting - Metered",14178,5.756268,14.178,"City of Columbia Heights","Xcel Energy",2015,"Electricity","commercial","CITY","Columbia Heights"
"48","Street Lighting - Non-Metered/Customer Owned",53333,21.653198,53.333,"City of Columbia Heights","Xcel Energy",2015,"Electricity","commercial","CITY","Columbia Heights"
"49","Street Lighting - Non-Metered/Xcel-Owned",550964,223.691384,550.964,"City of Columbia Heights","Xcel Energy",2015,"Electricity","commercial","CITY","Columbia Heights"
"50","Business",142423527.01,57823.95196606,142423.52701,"City of Coon Rapids","Xcel Energy",2015,"Electricity","Business","CITY","Coon Rapids"
"51","Residential",53451024.04,21701.11576024,53451.02404,"City of Coon Rapids","Xcel Energy",2015,"Electricity","residential","CITY","Coon Rapids"
"52","Street Lighting - Metered",41321,16.776326,41.321,"City of Coon Rapids","Xcel Energy",2015,"Electricity","commercial","CITY","Coon Rapids"
"53","Street Lighting - Non-Metered/Customer Owned",242209,98.336854,242.209,"City of Coon Rapids","Xcel Energy",2015,"Electricity","commercial","CITY","Coon Rapids"
"54","Street Lighting - Non-Metered/Xcel-Owned",583974,237.093444,583.974,"City of Coon Rapids","Xcel Energy",2015,"Electricity","commercial","CITY","Coon Rapids"
"55","Business *",89264700.77,36241.46851262,89264.70077,"City of Cottage Grove","Xcel Energy",2015,"Electricity","Business","CITY","Cottage Grove"
"56","Residential",112227733.81,45564.45992686,112227.73381,"City of Cottage Grove","Xcel Energy",2015,"Electricity","residential","CITY","Cottage Grove"
"57","Street Lighting - Metered",628512,255.175872,628.512,"City of Cottage Grove","Xcel Energy",2015,"Electricity","commercial","CITY","Cottage Grove"
"58","Street Lighting - Non-Metered/Customer Owned",606013,246.041278,606.013,"City of Cottage Grove","Xcel Energy",2015,"Electricity","commercial","CITY","Cottage Grove"
"59","Street Lighting - Non-Metered/Xcel-Owned",181055,73.50833,181.055,"City of Cottage Grove","Xcel Energy",2015,"Electricity","commercial","CITY","Cottage Grove"
"60","Business",48214277.56,19574.99668936,48214.27756,"City of Crystal","Xcel Energy",2015,"Electricity","Business","CITY","Crystal"
"61","Residential",64665132.02,26254.04360012,64665.13202,"City of Crystal","Xcel Energy",2015,"Electricity","residential","CITY","Crystal"
"62","Street Lighting - Metered",170362,69.166972,170.362,"City of Crystal","Xcel Energy",2015,"Electricity","commercial","CITY","Crystal"
"63","Street Lighting - Non-Metered/Customer Owned",60129,24.412374,60.129,"City of Crystal","Xcel Energy",2015,"Electricity","commercial","CITY","Crystal"
"64","Street Lighting - Non-Metered/Xcel-Owned",388866,157.879596,388.866,"City of Crystal","Xcel Energy",2015,"Electricity","commercial","CITY","Crystal"
"65","Business *",NA,NA,NA,"City of Delano","Xcel Energy",2015,"Electricity","Business","CITY","Delano"
"66","Business",321713676.01,130615.75246006,321713.67601,"City of Eagan","Xcel Energy",2015,"Electricity","Business","CITY","Eagan"
"67","Residential",28312820.02,11495.00492812,28312.82002,"City of Eagan","Xcel Energy",2015,"Electricity","residential","CITY","Eagan"
"68","Street Lighting - Metered",284733,115.601598,284.733,"City of Eagan","Xcel Energy",2015,"Electricity","commercial","CITY","Eagan"
"69","Street Lighting - Non-Metered/Customer Owned",4574,1.857044,4.574,"City of Eagan","Xcel Energy",2015,"Electricity","commercial","CITY","Eagan"
"70","Street Lighting - Non-Metered/Xcel-Owned",249943,101.476858,249.943,"City of Eagan","Xcel Energy",2015,"Electricity","commercial","CITY","Eagan"
"71","Commercial",161305311.24,65489.95636344,161305.31124,"City of Eden Prairie","Xcel Energy",2015,"Electricity","commercial","CITY","Eden Prairie"
"72","Industrial",403121605.02,163667.37163812,403121.60502,"City of Eden Prairie","Xcel Energy",2015,"Electricity","industrial","CITY","Eden Prairie"
"73","Residential",204989556.13,83225.75978878,204989.55613,"City of Eden Prairie","Xcel Energy",2015,"Electricity","residential","CITY","Eden Prairie"
"74","Street Lighting - Metered",1168403,474.371618,1168.403,"City of Eden Prairie","Xcel Energy",2015,"Electricity","commercial","CITY","Eden Prairie"
"75","Street Lighting - Non-Metered/Customer Owned",151243,61.404658,151.243,"City of Eden Prairie","Xcel Energy",2015,"Electricity","commercial","CITY","Eden Prairie"
"76","Street Lighting - Non-Metered/Xcel-Owned",2332641,947.052246,2332.641,"City of Eden Prairie","Xcel Energy",2015,"Electricity","commercial","CITY","Eden Prairie"
"77","Commercial",139097577.83,56473.61659898,139097.57783,"City of Edina","Xcel Energy",2015,"Electricity","commercial","CITY","Edina"
"78","Industrial",243712981,98947.470286,243712.981,"City of Edina","Xcel Energy",2015,"Electricity","industrial","CITY","Edina"
"79","Residential",196120276.1,79624.8320966,196120.2761,"City of Edina","Xcel Energy",2015,"Electricity","residential","CITY","Edina"
"80","Street Lighting - Metered",934078,379.235668,934.078,"City of Edina","Xcel Energy",2015,"Electricity","commercial","CITY","Edina"
"81","Street Lighting - Non-Metered/Customer Owned",334593,135.844758,334.593,"City of Edina","Xcel Energy",2015,"Electricity","commercial","CITY","Edina"
"82","Street Lighting - Non-Metered/Xcel-Owned",1288485,523.12491,1288.485,"City of Edina","Xcel Energy",2015,"Electricity","commercial","CITY","Edina"
"83","Business *",130250,52.8815,130.25,"City of Elko New Market","Xcel Energy",2015,"Electricity","Business","CITY","Elko New Market"
"84","Residential",769302,312.336612,769.302,"City of Elko New Market","Xcel Energy",2015,"Electricity","residential","CITY","Elko New Market"
"85","Street Lighting - Non-Metered/Xcel-Owned",90205,36.62323,90.205,"City of Elko New Market","Xcel Energy",2015,"Electricity","commercial","CITY","Elko New Market"
"86","Business *",5249353.01,2131.23732206,5249.35301,"City of Falcon Heights","Xcel Energy",2015,"Electricity","Business","CITY","Falcon Heights"
"87","Residential",12184229.05,4946.7969943,12184.22905,"City of Falcon Heights","Xcel Energy",2015,"Electricity","residential","CITY","Falcon Heights"
"88","Street Lighting - Metered",65249,26.491094,65.249,"City of Falcon Heights","Xcel Energy",2015,"Electricity","commercial","CITY","Falcon Heights"
"89","Street Lighting - Non-Metered/Customer Owned",20546,8.341676,20.546,"City of Falcon Heights","Xcel Energy",2015,"Electricity","commercial","CITY","Falcon Heights"
"90","Street Lighting - Non-Metered/Xcel-Owned",84925,34.47955,84.925,"City of Falcon Heights","Xcel Energy",2015,"Electricity","commercial","CITY","Falcon Heights"
"91","Business",160588477.75,65198.9219665,160588.47775,"City of Faribault","Xcel Energy",2015,"Electricity","Business","CITY","Faribault"
"92","Residential",62946636.95,25556.3346017,62946.63695,"City of Faribault","Xcel Energy",2015,"Electricity","residential","CITY","Faribault"
"93","Street Lighting - Metered",59174,24.024644,59.174,"City of Faribault","Xcel Energy",2015,"Electricity","commercial","CITY","Faribault"
"94","Street Lighting - Non-Metered/Customer Owned",320451,130.103106,320.451,"City of Faribault","Xcel Energy",2015,"Electricity","commercial","CITY","Faribault"
"95","Street Lighting - Non-Metered/Xcel-Owned",562704,228.457824,562.704,"City of Faribault","Xcel Energy",2015,"Electricity","commercial","CITY","Faribault"
"96","Business *",30894597,12543.206382,30894.597,"City of Farmington","Xcel Energy",2015,"Electricity","Business","CITY","Farmington"
"97","Residential",29065407,11800.555242,29065.407,"City of Farmington","Xcel Energy",2015,"Electricity","residential","CITY","Farmington"
"98","Street Lighting - Non-Metered/Customer Owned",7940,3.22364,7.94,"City of Farmington","Xcel Energy",2015,"Electricity","commercial","CITY","Farmington"
"99","Street Lighting - Non-Metered/Xcel-Owned",383960,155.88776,383.96,"City of Farmington","Xcel Energy",2015,"Electricity","commercial","CITY","Farmington"
"100","Business",351908723.86,142874.94188716,351908.72386,"City of Fridley","Xcel Energy",2015,"Electricity","Business","CITY","Fridley"
"101","Residential",76737682.02,31155.49890012,76737.68202,"City of Fridley","Xcel Energy",2015,"Electricity","residential","CITY","Fridley"
"102","Street Lighting - Metered",206867,83.988002,206.867,"City of Fridley","Xcel Energy",2015,"Electricity","commercial","CITY","Fridley"
"103","Street Lighting - Non-Metered/Customer Owned",139415,56.60249,139.415,"City of Fridley","Xcel Energy",2015,"Electricity","commercial","CITY","Fridley"
"104","Street Lighting - Non-Metered/Xcel-Owned",527233,214.056598,527.233,"City of Fridley","Xcel Energy",2015,"Electricity","commercial","CITY","Fridley"
"105","Business",270393486.78,109779.75563268,270393.48678,"City of Golden Valley","Xcel Energy",2015,"Electricity","Business","CITY","Golden Valley"
"106","Residential",67277565.89,27314.69175134,67277.56589,"City of Golden Valley","Xcel Energy",2015,"Electricity","residential","CITY","Golden Valley"
"107","Street Lighting - Metered",625216,253.837696,625.216,"City of Golden Valley","Xcel Energy",2015,"Electricity","commercial","CITY","Golden Valley"
"108","Street Lighting - Non-Metered/Customer Owned",108117,43.895502,108.117,"City of Golden Valley","Xcel Energy",2015,"Electricity","commercial","CITY","Golden Valley"
"109","Street Lighting - Non-Metered/Xcel-Owned",817739,332.002034,817.739,"City of Golden Valley","Xcel Energy",2015,"Electricity","commercial","CITY","Golden Valley"
"110","Business *",84259346,34209.294476,84259.346,"City of Hastings","Xcel Energy",2015,"Electricity","Business","CITY","Hastings"
"111","Residential",54713441.03,22213.65705818,54713.44103,"City of Hastings","Xcel Energy",2015,"Electricity","residential","CITY","Hastings"
"112","Street Lighting - Metered",190961,77.530166,190.961,"City of Hastings","Xcel Energy",2015,"Electricity","commercial","CITY","Hastings"
"113","Street Lighting - Non-Metered/Customer Owned",172045,69.85027,172.045,"City of Hastings","Xcel Energy",2015,"Electricity","commercial","CITY","Hastings"
"114","Street Lighting - Non-Metered/Xcel-Owned",438706,178.114636,438.706,"City of Hastings","Xcel Energy",2015,"Electricity","commercial","CITY","Hastings"
"115","Commercial",47127776.02,19133.87706412,47127.77602,"City of Hopkins","Xcel Energy",2015,"Electricity","commercial","CITY","Hopkins"
"116","Industrial",105045392,42648.429152,105045.392,"City of Hopkins","Xcel Energy",2015,"Electricity","industrial","CITY","Hopkins"
"117","Residential",45824633.06,18604.80102236,45824.63306,"City of Hopkins","Xcel Energy",2015,"Electricity","residential","CITY","Hopkins"
"118","Street Lighting - Metered",141937,57.626422,141.937,"City of Hopkins","Xcel Energy",2015,"Electricity","commercial","CITY","Hopkins"
"119","Street Lighting - Non-Metered/Customer Owned",224533,91.160398,224.533,"City of Hopkins","Xcel Energy",2015,"Electricity","commercial","CITY","Hopkins"
"120","Street Lighting - Non-Metered/Xcel-Owned",385395,156.47037,385.395,"City of Hopkins","Xcel Energy",2015,"Electricity","commercial","CITY","Hopkins"
"121","Business *",120756556.01,49027.16174006,120756.55601,"City of Inver Grove Heights","Xcel Energy",2015,"Electricity","Business","CITY","Inver Grove Heights"
"122","Residential",92646258.04,37614.38076424,92646.25804,"City of Inver Grove Heights","Xcel Energy",2015,"Electricity","residential","CITY","Inver Grove Heights"
"123","Street Lighting - Metered",295299,119.891394,295.299,"City of Inver Grove Heights","Xcel Energy",2015,"Electricity","commercial","CITY","Inver Grove Heights"
"124","Street Lighting - Non-Metered/Customer Owned",144453,58.647918,144.453,"City of Inver Grove Heights","Xcel Energy",2015,"Electricity","commercial","CITY","Inver Grove Heights"
"125","Street Lighting - Non-Metered/Xcel-Owned",498214,202.274884,498.214,"City of Inver Grove Heights","Xcel Energy",2015,"Electricity","commercial","CITY","Inver Grove Heights"
"126","Business",16265888.02,6603.95053612,16265.88802,"City of Jordan","Xcel Energy",2015,"Electricity","Business","CITY","Jordan"
"127","Residential",11761377.01,4775.11906606,11761.37701,"City of Jordan","Xcel Energy",2015,"Electricity","residential","CITY","Jordan"
"128","Street Lighting - Non-Metered/Customer Owned",93930,38.13558,93.93,"City of Jordan","Xcel Energy",2015,"Electricity","commercial","CITY","Jordan"
"129","Street Lighting - Non-Metered/Xcel-Owned",173136,70.293216,173.136,"City of Jordan","Xcel Energy",2015,"Electricity","commercial","CITY","Jordan"
"130","Business *",NA,NA,NA,"City of Kasson","Xcel Energy",2015,"Electricity","Business","CITY","Kasson"
"131","Residential",NA,NA,NA,"City of Kasson","Xcel Energy",2015,"Electricity","residential","CITY","Kasson"
"132","Street Lighting - Non-Metered/Xcel-Owned",1277,0.518462,1.277,"City of Kasson","Xcel Energy",2015,"Electricity","commercial","CITY","Kasson"
"133","Business",152063705,61737.86423,152063.705,"City of Lakeville","Xcel Energy",2015,"Electricity","Business","CITY","Lakeville"
"134","Residential",40076158.07,16270.92017642,40076.15807,"City of Lakeville","Xcel Energy",2015,"Electricity","residential","CITY","Lakeville"
"135","Street Lighting - Non-Metered/Customer Owned",144650,58.7279,144.65,"City of Lakeville","Xcel Energy",2015,"Electricity","commercial","CITY","Lakeville"
"136","Street Lighting - Non-Metered/Xcel-Owned",707969,287.435414,707.969,"City of Lakeville","Xcel Energy",2015,"Electricity","commercial","CITY","Lakeville"
"137","Business *",4514051.02,1832.70471412,4514.05102,"City of Lauderdale","Xcel Energy",2015,"Electricity","Business","CITY","Lauderdale"
"138","Residential",5611539,2278.284834,5611.539,"City of Lauderdale","Xcel Energy",2015,"Electricity","residential","CITY","Lauderdale"
"139","Street Lighting - Metered",38027,15.438962,38.027,"City of Lauderdale","Xcel Energy",2015,"Electricity","commercial","CITY","Lauderdale"
"140","Street Lighting - Non-Metered/Customer Owned",1972,0.800632,1.972,"City of Lauderdale","Xcel Energy",2015,"Electricity","commercial","CITY","Lauderdale"
"141","Street Lighting - Non-Metered/Xcel-Owned",28833,11.706198,28.833,"City of Lauderdale","Xcel Energy",2015,"Electricity","commercial","CITY","Lauderdale"
"142","Business *",3563635,1446.83581,3563.635,"City of Lexington","Xcel Energy",2015,"Electricity","Business","CITY","Lexington"
"143","Residential",4417038,1793.317428,4417.038,"City of Lexington","Xcel Energy",2015,"Electricity","residential","CITY","Lexington"
"144","Street Lighting - Non-Metered/Customer Owned",9860,4.00316,9.86,"City of Lexington","Xcel Energy",2015,"Electricity","commercial","CITY","Lexington"
"145","Street Lighting - Non-Metered/Xcel-Owned",29320,11.90392,29.32,"City of Lexington","Xcel Energy",2015,"Electricity","commercial","CITY","Lexington"
"146","Business *",14412753,5851.577718,14412.753,"City of Mahtomedi","Xcel Energy",2015,"Electricity","Business","CITY","Mahtomedi"
"147","Residential",27537949,11180.407294,27537.949,"City of Mahtomedi","Xcel Energy",2015,"Electricity","residential","CITY","Mahtomedi"
"148","Street Lighting - Metered",34777,14.119462,34.777,"City of Mahtomedi","Xcel Energy",2015,"Electricity","commercial","CITY","Mahtomedi"
"149","Street Lighting - Non-Metered/Customer Owned",34069,13.832014,34.069,"City of Mahtomedi","Xcel Energy",2015,"Electricity","commercial","CITY","Mahtomedi"
"150","Street Lighting - Non-Metered/Xcel-Owned",167198,67.882388,167.198,"City of Mahtomedi","Xcel Energy",2015,"Electricity","commercial","CITY","Mahtomedi"
"151","Business *",384521939.96,156115.90762376,384521.93996,"City of Mankato","Xcel Energy",2015,"Electricity","Business","CITY","Mankato"
"152","Residential",96728594.06,39271.80918836,96728.59406,"City of Mankato","Xcel Energy",2015,"Electricity","residential","CITY","Mankato"
"153","Street Lighting - Metered",308729,125.343974,308.729,"City of Mankato","Xcel Energy",2015,"Electricity","commercial","CITY","Mankato"
"154","Street Lighting - Non-Metered/Customer Owned",645092,261.907352,645.092,"City of Mankato","Xcel Energy",2015,"Electricity","commercial","CITY","Mankato"
"155","Street Lighting - Non-Metered/Xcel-Owned",670096,272.058976,670.096,"City of Mankato","Xcel Energy",2015,"Electricity","commercial","CITY","Mankato"
"156","Business",216000619.11,87696.25135866,216000.61911,"City of Maple Grove","Xcel Energy",2015,"Electricity","Business","CITY","Maple Grove"
"157","Residential",129022119.74,52382.98061444,129022.11974,"City of Maple Grove","Xcel Energy",2015,"Electricity","residential","CITY","Maple Grove"
"158","Street Lighting - Metered",164103,66.625818,164.103,"City of Maple Grove","Xcel Energy",2015,"Electricity","commercial","CITY","Maple Grove"
"159","Street Lighting - Non-Metered/Customer Owned",603957,245.206542,603.957,"City of Maple Grove","Xcel Energy",2015,"Electricity","commercial","CITY","Maple Grove"
"160","Street Lighting - Non-Metered/Xcel-Owned",785843,319.052258,785.843,"City of Maple Grove","Xcel Energy",2015,"Electricity","commercial","CITY","Maple Grove"
"161","Business *",192212795,78038.39477,192212.795,"City of Maplewood","Xcel Energy",2015,"Electricity","Business","CITY","Maplewood"
"162","Residential",113474686.01,46070.72252006,113474.68601,"City of Maplewood","Xcel Energy",2015,"Electricity","residential","CITY","Maplewood"
"163","Street Lighting - Metered",299317,121.522702,299.317,"City of Maplewood","Xcel Energy",2015,"Electricity","commercial","CITY","Maplewood"
"164","Street Lighting - Non-Metered/Customer Owned",250283,101.614898,250.283,"City of Maplewood","Xcel Energy",2015,"Electricity","commercial","CITY","Maplewood"
"165","Street Lighting - Non-Metered/Xcel-Owned",563150,228.6389,563.15,"City of Maplewood","Xcel Energy",2015,"Electricity","commercial","CITY","Maplewood"
"166","Business *",758219,307.836914,758.219,"City of Marine On St Croix","Xcel Energy",2015,"Electricity","Business","CITY","Marine On St Croix"
"167","Residential",3411432,1385.041392,3411.432,"City of Marine On St Croix","Xcel Energy",2015,"Electricity","residential","CITY","Marine On St Croix"
"168","Street Lighting - Non-Metered/Xcel-Owned",32798,13.315988,32.798,"City of Marine On St Croix","Xcel Energy",2015,"Electricity","commercial","CITY","Marine On St Croix"
"169","Business",3045872886.52,1236624.39192712,3045872.88652,"City of Minneapolis","Xcel Energy",2015,"Electricity","Business","CITY","Minneapolis"
"170","Residential",951024412.43,386115.91144658,951024.41243,"City of Minneapolis","Xcel Energy",2015,"Electricity","residential","CITY","Minneapolis"
"171","Street Lighting - Metered",15170572,6159.252232,15170.572,"City of Minneapolis","Xcel Energy",2015,"Electricity","commercial","CITY","Minneapolis"
"172","Street Lighting - Non-Metered/Customer Owned",2411719,979.157914,2411.719,"City of Minneapolis","Xcel Energy",2015,"Electricity","commercial","CITY","Minneapolis"
"173","Street Lighting - Non-Metered/Xcel-Owned",12013142,4877.335652,12013.142,"City of Minneapolis","Xcel Energy",2015,"Electricity","commercial","CITY","Minneapolis"
"174","Commercial",172461328.93,70019.29954558,172461.32893,"City of Minnetonka","Xcel Energy",2015,"Electricity","commercial","CITY","Minnetonka"
"175","Industrial",246057059,99899.165954,246057.059,"City of Minnetonka","Xcel Energy",2015,"Electricity","industrial","CITY","Minnetonka"
"176","Residential",199565684.14,81023.66776084,199565.68414,"City of Minnetonka","Xcel Energy",2015,"Electricity","residential","CITY","Minnetonka"
"177","Street Lighting - Metered",625845,254.09307,625.845,"City of Minnetonka","Xcel Energy",2015,"Electricity","commercial","CITY","Minnetonka"
"178","Street Lighting - Non-Metered/Customer Owned",560332,227.494792,560.332,"City of Minnetonka","Xcel Energy",2015,"Electricity","commercial","CITY","Minnetonka"
"179","Street Lighting - Non-Metered/Xcel-Owned",866977,351.992662,866.977,"City of Minnetonka","Xcel Energy",2015,"Electricity","commercial","CITY","Minnetonka"
"180","Business",122663702.03,49801.46302418,122663.70203,"City of New Brighton","Xcel Energy",2015,"Electricity","Business","CITY","New Brighton"
"181","Residential",64784295.04,26302.42378624,64784.29504,"City of New Brighton","Xcel Energy",2015,"Electricity","residential","CITY","New Brighton"
"182","Street Lighting - Metered",268878,109.164468,268.878,"City of New Brighton","Xcel Energy",2015,"Electricity","commercial","CITY","New Brighton"
"183","Street Lighting - Non-Metered/Customer Owned",161382,65.521092,161.382,"City of New Brighton","Xcel Energy",2015,"Electricity","commercial","CITY","New Brighton"
"184","Street Lighting - Non-Metered/Xcel-Owned",324768,131.855808,324.768,"City of New Brighton","Xcel Energy",2015,"Electricity","commercial","CITY","New Brighton"
"185","Business",134061092.97,54428.80374582,134061.09297,"City of New Hope","Xcel Energy",2015,"Electricity","Business","CITY","New Hope"
"186","Residential",54765106.1,22234.6330766,54765.1061,"City of New Hope","Xcel Energy",2015,"Electricity","residential","CITY","New Hope"
"187","Street Lighting - Metered",364405,147.94843,364.405,"City of New Hope","Xcel Energy",2015,"Electricity","commercial","CITY","New Hope"
"188","Street Lighting - Non-Metered/Customer Owned",94756,38.470936,94.756,"City of New Hope","Xcel Energy",2015,"Electricity","commercial","CITY","New Hope"
"189","Street Lighting - Non-Metered/Xcel-Owned",323984,131.537504,323.984,"City of New Hope","Xcel Energy",2015,"Electricity","commercial","CITY","New Hope"
"190","Business *",14328984,5817.567504,14328.984,"City of Newport","Xcel Energy",2015,"Electricity","Business","CITY","Newport"
"191","Residential",11267128.97,4574.45436182,11267.12897,"City of Newport","Xcel Energy",2015,"Electricity","residential","CITY","Newport"
"192","Street Lighting - Metered",235973,95.805038,235.973,"City of Newport","Xcel Energy",2015,"Electricity","commercial","CITY","Newport"
"193","Street Lighting - Non-Metered/Xcel-Owned",125165,50.81699,125.165,"City of Newport","Xcel Energy",2015,"Electricity","commercial","CITY","Newport"
"194","Business *",122997925.93,49937.15792758,122997.92593,"City of Northfield","Xcel Energy",2015,"Electricity","Business","CITY","Northfield"
"195","Residential",48019472.03,19495.90564418,48019.47203,"City of Northfield","Xcel Energy",2015,"Electricity","residential","CITY","Northfield"
"196","Street Lighting - Metered",26981,10.954286,26.981,"City of Northfield","Xcel Energy",2015,"Electricity","commercial","CITY","Northfield"
