gas_id,value_emissions,mt_co2e,perc_gas_weight,perc_gas_co2e
CH4,94034.82703882124,2623571.674383112,0.001822832031324415,0.04737857616869458
CO2,51489192.38520359,51489192.38520359,0.9980998753581669,0.9298334202592503
HFC,91.39276635365853,15073.227,1.7716166146827778e-6,2.722045067419183e-4
N2O,3876.36416523375,1058247.4171088138,7.514195525184624e-5,0.019110686529501195
Other fluorinated GHG,1.8607060025542783,42842.920000000006,3.606913107771548e-8,7.736920505465397e-4
PFC,17.692841741888618,145713.96624399998,3.4296951106161686e-7,0.0026314204852654673
