Year,County,Landfill,WTE,Onsite,MSW_Compost,Organics,Recycling,Recycling_Rate
2001,Nicollet,6339.11,6995.73,1049.375,0,0,13470.8969,0.483605916
2002,Nicollet,7812.2,8209.8,1028.3875,0,0,12810.26694,0.429001547
2003,Nicollet,8110.07,7134.44,1070.3625,0,0,12978.32752,0.443049155
2004,Nicollet,6472.93,9872.84,1049.375,0,18,16274.89104,0.483640276
2005,Nicollet,8035.01,10515.9,1049.375,0,18,14207.36376,0.420549621
2006,Nicollet,7919.24,9836.5,1049.375,0,0,15090.1881,0.445199975
2007,Nicollet,5437.15,9603.75,1049.375,0,170.62,12467.9798,0.439926725
2008,Nicollet,6191.2,8734.77,1066.165,0,170.62,15176.75001,0.489713223
2009,Nicollet,7426.47,9454.25,1066.165,0,175.1,14146.1066,0.443819448
2010,Nicollet,8568.56,8666.24,1101.84375,0,175,15028.12328,0.45328649
2011,Nicollet,7413.42,9620.92,1101.84375,0,175,17057.21639,0.487220692
2012,Nicollet,6790.38,9488.93,1101.84375,0,143.21,18809.77216,0.521630188
2013,Nicollet,7569,9242.5,1101.84375,0,125,18303.15845,0.507083013
2014,Nicollet,7129,8743,1179.5,0,55,18694.32,0.523712027
2015,Nicollet,7423,7921,692.59,0,57,18750.55,0.53976221
2016,Nicollet,5980,8838,650.61,0,60,19756.75,0.561613938
2017,Nicollet,5917,8744.89,566.6625,0,48.07,21590.51,0.586934175
2018,Nicollet,21605.62,14425.91,566.6625,0,71,19805.34,0.351952272
2019,Nicollet,23974,16174,566.6625,0,26.38,19983.08,0.329514189
2020,Nicollet,28305.38,14981.36,566.6625,0,18,14553.01,0.249399341
2021,Nicollet,36021.42,15938.58,566.6625,0,73.22,14728.85,0.219847745
2022,Nicollet,55128.85,8555.49,524.6875,0,1983.71,16141.62,0.22014297
2023,Nicollet,54496,8792,482.7125,0,1462.13,17032.75,0.224819143
1991,Nobles,8033,0,1812.06075,0,0,2299.96698,0.189375194
1992,Nobles,7750,0,1812.06075,0,0,2978.64754,0.237518286
1993,Nobles,8658.61,0,1804.925,0,0,3114.721518,0.229390387
1994,Nobles,8378.978979,0,1783.9375,0,0,3504.399622,0.2564073
1995,Nobles,16425.6,0,1605.54375,0,0,4819.44,0.210911023
1996,Nobles,15481,0,1230.707,0,0,5091.19,0.233509795
1997,Nobles,14379,0,1230.707,0,0,5305.287469,0.253659521
1998,Nobles,13839.2,0,1230.707,0,0,5103.001332,0.252963095
1999,Nobles,13375,0,1217.275,0,0,5758.460849,0.282960817
2000,Nobles,13895,0,1217.275,0,0,6130.576579,0.288594804
2001,Nobles,13411,0,1217.275,0,0,5596,0.276697187
2002,Nobles,14516,0,1217.275,0,0,6225,0.283492214
2003,Nobles,10462,0,1217.275,0,0,6646.40995,0.362682757
2004,Nobles,10180,0,1217.275,0,104,6214,0.356641373
2005,Nobles,8634,0,1217.275,0,104,6247.681701,0.392007571
2006,Nobles,7364.4,0,1154.3125,0,113,6210.396,0.426044318
2007,Nobles,8493.2,0,1049.375,0,115,7038.819201,0.42846492
2008,Nobles,9888.48,0,944.4375,0,143,9262,0.464721728
2009,Nobles,13310,0,944.4375,0,143,8576.829481,0.379547669
2010,Nobles,11600,0,755.55,0,206.55,8367.253447,0.409654482
2011,Nobles,11087,0,692.5875,0,230.8,8377.36,0.422222219
2012,Nobles,10130,0,608.6375,0,172.6,6751.46772,0.392016264
2013,Nobles,8727,0,524.6875,0,117.7,6788.707323,0.427427082
2014,Nobles,9765,0,398.76,0,255,6611.75,0.40320284
2015,Nobles,5350,0,388.27,0,412,6585.5,0.549436744
2016,Nobles,5772,0,381.97,0,454,7048.9,0.549386499
2017,Nobles,6250,0,361.40475,0,373,6401.1,0.506077292
2018,Nobles,6216,0,444.51525,0,404.55,6544.22,0.510590371
2019,Nobles,6239,0,405.05875,0,451,6523.4,0.512128437
2020,Nobles,10052,0,375.2565,0,418.7,5867.65,0.376121695
2021,Nobles,10615,0,366.44175,0,763.3,5750.72,0.372326269
2022,Nobles,10687,0,348.81225,0,738.1,6529.76,0.39707114
2023,Nobles,10259,0,343.77525,0,678.5,6250.54,0.395226615
1991,Norman,0,3135,201.06025,0,0,200.79408,0.056771939
1992,Norman,111.8,3180.71,383.23175,0,0,208.32584,0.053635998
1993,Norman,78,3217,261.50425,0,0,262.2686393,0.068678774
1994,Norman,0,3398,28.543,0,0,799.354087,0.18915607
1995,Norman,26,3272,27.7035,0,0,308.96,0.085003742
1996,Norman,0,3335,25.185,0,0,856.39,0.203100858
1997,Norman,1829,3359,25.185,0,0,1077.205747,0.171246237
1998,Norman,66,3445,25.185,0,0,1170.158815,0.248634367
1999,Norman,50,3327,25.185,0,0,520.321999,0.132650369
2000,Norman,70.06,3321,23.506,0,0,603.1140013,0.150114992
2001,Norman,739,2221,22.6665,0,0,1273.859997,0.299272188
2002,Norman,1066,2210,20.9875,0,0,651.9400012,0.165092927
2003,Norman,1029,2366,20.9875,0,0,442.5100001,0.114684537
2004,Norman,1262,1951,21.827,0,0,579.4500019,0.151916078
2005,Norman,792.62,2487,21.40725,0,0,465.7700004,0.123651466
2006,Norman,192.62,2815.68,20.56775,0,0,419.8200002,0.121733259
2007,Norman,446.91,2819.98,19.72825,0,0,375.0299987,0.102421088
2008,Norman,414.41,2878,22.6665,0,0,375.2999997,0.101696941
2009,Norman,391.59,2959.73,22.6665,0,0,347.7599975,0.093440001
2010,Norman,395.25,2923.25,22.6665,0,0,347.016772,0.094088809
2011,Norman,478.52,2929.86,22.6665,0,0,327.3574077,0.087100114
2012,Norman,545.28,2782.74,21.827,0,0,347.4399991,0.093971607
2013,Norman,638.91,2622,21.827,0,0,373.2679996,0.102097234
2014,Norman,729,2241,21.83,0,0,260.3,0.080039851
2015,Norman,669,2008,23.09,0,0,244.75,0.083111476
2016,Norman,664,2060,21.41,0,0,229.25,0.077067631
2017,Norman,2797.21,529.76,28.543,0,0,293.31,0.080384825
2018,Norman,534.97,2842,6.29625,0,0,361.67,0.096575743
2019,Norman,664,2915,11.753,0,0,286.53,0.073899687
2020,Norman,706.61,2770.96,11.33325,0,0,388.4,0.100172717
2021,Norman,737.5,2916,13.01225,0,0,568.54,0.134246278
2022,Norman,692,3007,14.69125,0,0,423.38,0.102338097
2023,Norman,697,2974,19.3085,0,0,425.25,0.10332741
1991,Olmsted,8786,59998,896.586,0,0,21792.24668,0.238237366
1992,Olmsted,9896,58915,447.03375,0,0,18992.43564,0.215210591
1993,Olmsted,7644,60900,440.7375,0,876.33,22591.43005,0.253835869
1994,Olmsted,11463,56885,440.7375,0,1681.13,27905.77176,0.300754353
1995,Olmsted,8078,59760,419.75,0,1234.59,24066.02,0.270425967
1996,Olmsted,6544,63299,419.75,0,1103.38,26100.03,0.279106205
1997,Olmsted,12281,59003,419.75,0,861.02,31262.47404,0.309393689
1998,Olmsted,23640,58399,419.75,0,944.4,45461.51198,0.360113558
1999,Olmsted,24965,58835,419.75,0,129,39941.94443,0.322396979
2000,Olmsted,28196,53322,512.095,0,0,28819.34592,0.25998639
2001,Olmsted,25863.23,59959.02,521.74925,0,2574.52,38222.03422,0.320877589
2002,Olmsted,28148.42,56863.73,533.50225,0,781.06,22862.30094,0.21653608
2003,Olmsted,35096.28,53058.96,533.50225,0,1800,27918.50403,0.250985518
2004,Olmsted,31601.83,57596.39,530.98375,0,786.4,41476.71451,0.320193744
2005,Olmsted,30244.58,56434.44,533.50225,0,836,42263.23539,0.330739422
2006,Olmsted,30101.48,57081.05,579.255,0,847.5,42964.81305,0.332985851
2007,Olmsted,34301.06,58738.05,456.688,0,5768.81,30835.54813,0.281355221
2008,Olmsted,33349.98,55463.91,2373.2665,0,5631,45222.22736,0.358019501
2009,Olmsted,21777.39,56392.59,2373.2665,0,427.12,33905.28641,0.298865822
2010,Olmsted,18763.89,66591.41,2373.2665,0,958.15,40558.54015,0.321224092
2011,Olmsted,11638,73846,2373.2665,0,57474.89,63957.3453,0.580211784
2012,Olmsted,9861,76782,2373.2665,0,2406.75,71153.18656,0.452464353
2013,Olmsted,7777,79350,2373.2665,0,60617.05,31165.99937,0.506296175
2014,Olmsted,1212,85702,2373.27,0,58467.02,65776.08,0.581852127
2015,Olmsted,8530,88357,2373.27,0,2873.72,67103.7,0.413486027
2016,Olmsted,1805,92144,1930.85,0,2811,81382.26,0.46755043
2017,Olmsted,1321,92266,1605.9635,0,6383.36,67319.67,0.436381163
2018,Olmsted,1034,92850,1635.346,0,2713.7,71200.6,0.436243342
2019,Olmsted,1514,96358,1635.346,0,4263.57,64186.51,0.407544231
2020,Olmsted,1656,94508,1480.0385,0,4478.92,63225.41,0.40946476
2021,Olmsted,3551,92994,1366.706,0,4034.21,71466.69,0.435382996
2022,Olmsted,2923,100767,2343.46425,0,3187.06,66360.61,0.396099902
2023,Olmsted,1243,97603,2398.4515,0,3260.72,59332.23,0.382043108
1991,Otter Tail,645.6,21700.25,6077.98,0,0,3125.19092,0.099058254
1992,Otter Tail,783.7,21848.2,6398.669,0,0,3419.49916,0.105377257
1993,Otter Tail,2880.56,25292.22,3405.8515,0,2749.2,4842.631057,0.193815201
1994,Otter Tail,1103.63,26411.56,1490.1125,0,2757,6603.984481,0.243989847
1995,Otter Tail,1617.86,27762.6,1490.1125,0,2664.63,7497.43,0.247658007
1996,Otter Tail,35.53,25554.93,1397.7675,0,2047,8467.61,0.280368385
1997,Otter Tail,272.81,27077.44,982.215,0,36461.98,8942.171958,0.615761257
1998,Otter Tail,3736.97,24847.47,982.215,0,39148.65,8587.164074,0.617519914
1999,Otter Tail,7331.76,20777.48,982.215,0,38075.99,7961.459246,0.612779458
2000,Otter Tail,10591.69,17553.43,982.215,0,38080,8256.526052,0.614022731
2001,Otter Tail,6735.03,21329.89,982.215,0,57591.03,9071.665958,0.696508345
2002,Otter Tail,1199,27939,982.215,0,32267.62,9934.425185,0.583527742
2003,Otter Tail,696,30097,982.215,0,16591.85,12463.35761,0.477642705
2004,Otter Tail,518,31757,982.215,0,15554.32,13109.83516,0.462912159
2005,Otter Tail,2650,30993,982.215,0,15492.29,13434.799,0.455169792
2006,Otter Tail,14829,19575,965.425,0,8522,14820.38001,0.397575581
2007,Otter Tail,17848,14957,948.635,0,0,11117.30429,0.247761791
2008,Otter Tail,17216,14640,948.635,0,0,5811.179989,0.150487048
2009,Otter Tail,11378,17237,831.105,0,0,5779.11,0.164061738
2010,Otter Tail,7250,22447,831.105,0,0,5932.987021,0.162721046
2011,Otter Tail,8914,21263,831.105,0,77.15,8531.385558,0.21729595
2012,Otter Tail,11193,19957,646.415,0,5694.34,17173.08064,0.418328139
2013,Otter Tail,17368,14755,646.415,0,19430.63,12438.04165,0.49303241
2014,Otter Tail,12564,19589,362.24,0,19982.06,10980.66,0.487771189
2015,Otter Tail,13130,16920,363.92,0,19593.75,15566.31,0.536189202
2016,Otter Tail,6165,24702,362.24,0,23718.77,12099.24,0.534220419
2017,Otter Tail,9466.23,22192.39,230.8625,0,22591.74,16223.99,0.548979752
2018,Otter Tail,9953.66,18181.23,188.8875,0,19814.89,17692.84,0.569753473
2019,Otter Tail,11790.4,19281.19,128.02375,0,13464.32,12291.41,0.452209192
2020,Otter Tail,13752.83,18789.94,362.24425,0,12970.31,14132.68,0.451656247
2021,Otter Tail,11183.72,26575.57,274.5165,0,12010.2,11210.56,0.379086186
2022,Otter Tail,10887.71,21816.34,224.1465,0,49125.8,11114.96,0.64657545
2023,Otter Tail,12399.87,20666.26,230.8625,0,31967.91,15428.4,0.587363617
1991,Pennington,0,8782,810.1175,0,0,1104.10758,0.103224041
1992,Pennington,669,7853,810.1175,0,0,1193.89134,0.113422985
1993,Pennington,0,9335,810.1175,0,0,728.7916324,0.067022045
1994,Pennington,0,10555.29,810.1175,0,0,2224.955461,0.163715676
1995,Pennington,0,11019.46,965.425,0,0,1588.68,0.117042207
1996,Pennington,0,10118.2,881.475,0,0,3726.26,0.253040639
1997,Pennington,2500,8500,881.475,0,0,3282.123727,0.216447546
1998,Pennington,2000,9402,881.475,0,0,4652.027293,0.274690837
1999,Pennington,2635.8,8864.2,1637.025,0,0,2500.67675,0.159913317
2000,Pennington,3928.3,8028.56,1637.025,0,0,2909.344428,0.176289401
2001,Pennington,8314,5371,1637.025,0,0,4435.692591,0.224504302
2002,Pennington,8013,4905,1637.025,0,0,2524.443565,0.147805744
2003,Pennington,9716.1,3063.3,1637.025,0,0,1982.715285,0.120903611
2004,Pennington,13582.41,0,1637.025,0,0,2282.829783,0.130430536
2005,Pennington,12946.6,0,1637.025,0,0,1439.981932,0.089866279
2006,Pennington,13113,0,1637.025,0,0,2125.678957,0.125960906
2007,Pennington,10030.15,0,1637.025,0,0,2369.948766,0.168834357
2008,Pennington,10039.19,0,1637.025,0,0,1644.094296,0.123427637
2009,Pennington,9808,0,1637.025,0,0,2007.586927,0.149233988
2010,Pennington,10052,0,1637.025,0,0,1962.445137,0.143753392
2011,Pennington,10244,0,1637.025,0,0,1922.890792,0.139300386
2012,Pennington,10515,0,1637.025,0,0,1913.85889,0.136063891
2013,Pennington,11664.5,0,1637.025,0,0,2089.812696,0.135778497
2014,Pennington,10450,0,1585.82,0,249.35,8511.19,0.421253527
2015,Pennington,10036,0,1585.82,0,180,8172.74,0.418168911
2016,Pennington,10028,0,1452.34,0,10,1643.05,0.125866208
2017,Pennington,8854.76,0,298.0225,0,3.31,2962.96,0.244760884
2018,Pennington,8819.85,2,83.95,0,80.03,3375.77,0.27955928
2019,Pennington,7967.07,0,5951.2155,0,20,7201.32,0.341601455
2020,Pennington,9350.6,0,209.875,0,123.71,3128.45,0.253824448
2021,Pennington,9560,0,209.875,0,96.38,2481.87,0.208796882
2022,Pennington,9298.85,0,209.875,0,145.27,3608.08,0.283013782
2023,Pennington,10768.65,0,209.875,0,207.73,3618.56,0.258449025
1991,Pine,0,0,4194.9815,5874.54,0,963.54634,0.087332585
1992,Pine,0,0,1549.717,6867.4,0,1520.55682,0.153009331
1993,Pine,0,0,3960.761,7252.74,354.96,1729.363244,0.156741675
1994,Pine,10042.87,0,3894.4405,0,413.43,6834.337598,0.342116633
1995,Pine,10218,0,3827.2805,0,572.02,7152.26,0.354820209
1996,Pine,9708,0,3759.281,0,418.17,7613.02,0.373570288
1997,Pine,11163,0,3690.86175,0,541.18,7134.590007,0.340696647
1998,Pine,12963,0,3751.7255,0,417.55,7189.306007,0.31276157
1999,Pine,14339,0,3812.58925,0,375.8,2050.74055,0.11791842
2000,Pine,15469,0,4087.5255,0,33,2183.756445,0.101810855
2001,Pine,16724,0,4553.02825,0,0,2061.290007,0.088322131
2002,Pine,16060,0,1695.79,0,0,2281.68725,0.113870984
2003,Pine,17874,0,573.79825,0,0,3707.255923,0.167332289
2004,Pine,18415,0,573.79825,0,0,3442.840773,0.153481463
2005,Pine,18728,0,1767.1475,0,0,4373.70158,0.175870687
2006,Pine,19718.32,0,1767.1475,0,135,5069.535887,0.194999446
2007,Pine,19918.32,0,1679,0,663.2,4720.694998,0.199542348
2008,Pine,18165.51,0,1679,0,670,3482.175925,0.173031223
2009,Pine,17176.3,0,1679,0,500,5208.977815,0.232409756
2010,Pine,16890.86,0,1679,0,669.89,5072.316186,0.236187502
2011,Pine,16536.23,0,1679,0,515.27,5577.472562,0.250647912
2012,Pine,16591.24,0,1679,0,529.5,7742.154135,0.311645209
2013,Pine,15744.88,0,419.75,0,735.95,8096.738652,0.353345444
2014,Pine,17098,0,1832.21,0,421.2,6956.55,0.280437936
2015,Pine,18028,0,2383.76,0,601.49,6144.42,0.248397966
2016,Pine,18434,0,4407.38,0,504.07,6955.14,0.246173754
2017,Pine,18098,0,4407.375,0,563.6,7981.2,0.275193296
2018,Pine,15043.62,0,4407.375,0,608.03,6271.56,0.261277522
2019,Pine,16147.86,0,2439.16725,0,758.6,8229.62,0.325952472
2020,Pine,19334.38,0,2439.16725,0,232.16,5441.89,0.206723013
2021,Pine,21682.41,0,2439.16725,0,244.77,10662.16,0.31137296
2022,Pine,21960.45,0,1259.25,0,223.66,3398.86,0.134956051
2023,Pine,21455.9,0,1238.2625,0,5.63,4244.11,0.157725482
1991,Pipestone,5195,0,1343.2,0,0,1056.56924,0.139118017
1992,Pipestone,4659.3,0,1301.225,0,0,1640.15852,0.215790924
1993,Pipestone,4407.78,0,1301.225,0,0,1787.180628,0.238412003
1994,Pipestone,4200,0,1301.225,0,0,2316.835602,0.296344032
1995,Pipestone,4411,0,1301.225,0,0,2525.57,0.306583254
1996,Pipestone,4580,0,1301.225,0,0,2660.58,0.311477492
1997,Pipestone,4643,0,1301.225,0,0,2096.568161,0.260741462
1998,Pipestone,4994.16,0,1301.225,0,0,2628.63054,0.294556921
1999,Pipestone,5055,0,1301.225,0,0,2755.088312,0.302381031
2000,Pipestone,4683.8,0,1301.225,0,0,2302.836498,0.277856537
2001,Pipestone,4452.74,0,1301.225,0,0,2348.063441,0.289811799
2002,Pipestone,4934.98,0,1196.2875,0,0,6072.098,0.497575689
2003,Pipestone,5098.34,0,1196.2875,0,0,5853.045794,0.481824433
2004,Pipestone,5060,0,1196.2875,0,0,2454.220941,0.28175404
2005,Pipestone,4851,0,1196.2875,0,0,3662.737473,0.377211952
2006,Pipestone,4553.42,0,1196.2875,0,0,2186.438504,0.275503815
2007,Pipestone,4186,0,1196.2875,0,0,4108.950001,0.432920365
2008,Pipestone,3951,0,1196.2875,0,0,3947.994758,0.434070614
2009,Pipestone,4664,0,1196.2875,0,82,4014.834848,0.411447676
2010,Pipestone,4287.15,0,1196.2875,0,97,4095.400249,0.433285505
2011,Pipestone,4031.09,0,1196.2875,0,102,4224.900002,0.452875688
2012,Pipestone,3726.06,0,1196.2875,0,104.08,4086.234772,0.45983431
2013,Pipestone,3763.67,0,692.5875,0,327.15,4641.380001,0.527176873
2014,Pipestone,7366,0,419.75,0,66,4073.91,0.347143051
2015,Pipestone,5376,0,419.75,0,73,3958.07,0.410211035
2016,Pipestone,5436,0,419.75,0,11.75,4016,0.407522639
2017,Pipestone,5103,0,503.7,0,16.5,4205.8,0.429575745
2018,Pipestone,5366,0,419.75,0,21.15,4340.26,0.42981583
2019,Pipestone,5512,0,419.75,0,26.56,3670.04,0.383928711
2020,Pipestone,5854.84,0,419.75,0,11.07,3527.38,0.360586526
2021,Pipestone,5811.79,0,419.75,0,43.26,3398.93,0.35582862
2022,Pipestone,6271.83,0,419.75,0,32.26,3162.51,0.323149595
2023,Pipestone,6138.84,0,419.75,0,3.45,8364.85,0.560619124
1991,Polk,4793,9764,1708.80225,0,0,1014.32226,0.058698782
1992,Polk,8018.18,9606.81,2453.019,0,0,1525.54174,0.070615324
1993,Polk,7045.18,9091.84,2453.019,0,0,1848.04556,0.090421661
1994,Polk,8762.63,7618.85,2453.019,0,0,3067.874897,0.140070429
1995,Polk,7279.62,8086.19,1679,0,2307.58,3811.4,0.264161435
1996,Polk,6175.33,8475.94,209.875,0,0,3415.57,0.186880958
1997,Polk,6241.7,10349.1,209.875,0,0,3166.401641,0.158581133
1998,Polk,5766.4,9966.8,209.875,0,0,6623.930014,0.293522778
1999,Polk,5133.61,10414.24,188.8875,0,0,5375.274202,0.25460739
2000,Polk,4927.55,10480.39,188.8875,0,0,3451.175758,0.181183073
2001,Polk,4502.1,7904.5,188.8875,0,0,6704.994927,0.34740038
2002,Polk,5009,10915.6,188.8875,0,0,6815.495403,0.297243686
2003,Polk,5206.8,10993.2,180.4925,0,0,4730.789986,0.224088233
2004,Polk,5942.5,11344.3,188.8875,0,0,5358.670433,0.234675766
2005,Polk,5685.1,11441.6,188.8875,0,0,6404.440003,0.270001373
2006,Polk,5850.6,11212.1,188.8875,0,0,4050.522352,0.190146534
2007,Polk,7618.5,11472.8,184.69,0,0,3364.400012,0.148601681
2008,Polk,5267.8,11485.3,182.59125,0,198,3085.029991,0.162375748
2009,Polk,5960.6,11388,181.75175,0,0,3525.140003,0.167421405
2010,Polk,6304.9,11122.9,181.75175,0,0,3798.955903,0.177450758
2011,Polk,6620.91,10142.99,181.75175,0,1441.8,4897.25325,0.272241081
2012,Polk,7567.22,10024.48,181.75175,0,657.99,4497.642409,0.224851214
2013,Polk,8956.2,8989.3,167.9,0,3396.4,4857.489721,0.313035197
2014,Polk,11503,5480,167.9,0,2964.44,6733.1,0.36119566
2015,Polk,8550,7043,167.9,0,2018.89,5606.99,0.326076527
2016,Polk,9193,6415,167.9,0,4413.45,7331.14,0.426758026
2017,Polk,14190.91,7224.68,163.7025,0,5721.2,8638,0.399549313
2018,Polk,12690.6,6577,125.925,0,5142.6,6049.29,0.36592245
2019,Polk,14048.32,9462.78,125.925,0,4222.68,9196.97,0.362138535
2020,Polk,17746.6,7141,125.925,0,3160.8,7909.51,0.306794164
2021,Polk,11774,19337,125.925,0,1748.66,9388.1,0.262822551
2022,Polk,15316,8106,125.925,0,3154.2,20727.12,0.503514656
2023,Polk,16424.6,8510,125.50525,0,0,13936.91,0.357384018
1991,Pope/Douglas,2227,18148.44,496.1445,0,0,2088.63636,0.090967608
1992,Pope/Douglas,2501,17961,496.1445,0,68.57,3417.23028,0.142603835
1993,Pope/Douglas,2788.52,18733.88,496.1445,0,204.57,4338.72124,0.17104583
1994,Pope/Douglas,2384.96,19822,496.1445,0,181.02,4549.908568,0.172447433
1995,Pope/Douglas,1041.44,18511.41,495.72475,0,209.03,7031.9,0.265337538
1996,Pope/Douglas,3267.05,19190.55,495.72475,0,364.19,10553.47,0.322330752
1997,Pope/Douglas,3425.48,18911.55,495.72475,0,0,10899.63998,0.323120848
1998,Pope/Douglas,7515.79,14573,495.72475,0,0,11468.07405,0.336775395
1999,Pope/Douglas,3283.66,20088.53,495.72475,0,0,11328.09942,0.321857451
2000,Pope/Douglas,3348.57,23346.84,495.72475,0,0,13545.37397,0.332511901
2001,Pope/Douglas,4508.47,25127.63,495.72475,0,0,14191.59788,0.320182807
2002,Pope/Douglas,1819.92,26941.7,495.72475,0,0,14269.08481,0.327825759
2003,Pope/Douglas,4396.24,25948.7,495.72475,0,0,16780.92135,0.352380564
2004,Pope/Douglas,4316.87,25175.78,495.72475,0,0,16459.34992,0.354362889
2005,Pope/Douglas,3904.91,27068.57,495.72475,0,0,19433.80306,0.381781036
2006,Pope/Douglas,4278.74,26567.65,495.72475,0,0,9505.239903,0.232701481
2007,Pope/Douglas,2481.4,25440.73,461.725,0,0,8607.239997,0.232684109
2008,Pope/Douglas,1951.98,25666.71,482.7125,0,2,8940.076622,0.241394082
2009,Pope/Douglas,1880.2,24731,503.7,0,2,10208.64508,0.273556489
2010,Pope/Douglas,2136.6,22030.3,503.7,0,52.65,9327.660006,0.275478981
2011,Pope/Douglas,2279.91,21498,503.7,0,114.35,9858.84188,0.291147265
2012,Pope/Douglas,2621.81,24667.05,591.8475,0,134.48656,11437.66636,0.293315942
2013,Pope/Douglas,2690,24635,591.8475,0,1502.93,14389.31547,0.362761345
2014,Pope/Douglas,329,17044,533.92,0,1647.52,38377.38,0.690896644
2015,Pope/Douglas,351,27088,533.92,0,1938.42,45354.98,0.628347447
2016,Pope/Douglas,111,26910.1,533.92,0,1962.12,8082.43,0.267145342
2017,Pope/Douglas,264.13,24109.92,419.75,0,1856.69,10850.07,0.338841873
2018,Pope/Douglas,211.6,26162.28,83.95,0,2811.92,10836.38,0.340304587
2019,Pope/Douglas,220.01,27300,209.875,0,4855.1,13929.58,0.403845118
2020,Pope/Douglas,7784,26247,209.875,0,5630,14507.26,0.370319063
2021,Pope/Douglas,7801.13,27400.73,125.925,0,5744.36,14850.68,0.368276102
2022,Pope/Douglas,7542.76,27248,125.925,0,9469.65,16813.25,0.429462063
2023,Pope/Douglas,12229.79,29303.67,121.7275,0,9235,14766.2,0.36555773
1991,Ramsey,0,284453,0,0,0,43585.39,0.132866736
1992,Ramsey,0,279467,0,0,2441.08,63270.68922,0.190370252
1993,Ramsey,0,298951,0,376,3101,67044.62685,0.18985338
1994,Ramsey,39820,250135,0,84,7813,84056.7628,0.240554215
1995,Ramsey,79882.99,239855.94,0,0,9997.33,82700.45,0.224756375
1996,Ramsey,95929,260258,0,0,12792,120613.35,0.272482505
1997,Ramsey,128167,248783,0,0,17018,121711.8044,0.269023148
1998,Ramsey,133062,260646,0,0,15516,117051.9424,0.251898162
1999,Ramsey,179911,238214,0,0,16877,117065.4146,0.242619671
2000,Ramsey,207025,235504,0,0,37607,117482.7066,0.259512805
2001,Ramsey,248647,222724,0,0,8885.6,115851.1709,0.209252046
2002,Ramsey,221809,234612,0,0,32253,120010.1072,0.250151278
2003,Ramsey,228487,195128,0,0,15308,135061.9047,0.261975365
2004,Ramsey,225516,197133,0,0,14584,150408.0854,0.280770167
2005,Ramsey,234600,183539,0,0,21491,144985.33,0.28476217
2006,Ramsey,245782,162975,0,0,21736,137515.747,0.280368476
2007,Ramsey,210623,175625,0,0,26916,115435.9444,0.269299961
2008,Ramsey,185904,174976,0,0,28809,83398.99839,0.237182086
2009,Ramsey,146075,187458,0,0,33889,91381.85741,0.273037934
2010,Ramsey,139467,183083,0,0,39384,63733.41991,0.242248796
2011,Ramsey,115400,191222,0,0,42936.9,63649.9659,0.257949126
2012,Ramsey,92217,195271,0,0,43649.4,70599.94699,0.284388165
2013,Ramsey,99395,196188,0,0,50292.08,66585.77542,0.283367146
2014,Ramsey,109305,227474,0,0,101309.09,65823.89,0.33167098
2015,Ramsey,117414,232286,0,0,126336.5,61772.01,0.349768564
2016,Ramsey,129777,213136,0,0,117359.8,86104.99,0.372388471
2017,Ramsey,133753,241932,0,0,120364,131725,0.401560116
2018,Ramsey,60366,256016,0,0,113846.14,182213.15,0.483408442
2019,Ramsey,67751.8,256073.8,0,0,112154.03,215018.51,0.502570622
2020,Ramsey,84482,230167.5,0,0,88731.99,181074.71,0.461637159
2021,Ramsey,81696,236011.9,0,0,106028.31,79274.08,0.368386877
2022,Ramsey,68570.18,238772.26,0,0,125459.91,198372.56,0.513062964
2023,Ramsey,74163.74,240957.67,0,0,117910.03,192361.13,0.496122236
1991,Red Lake,1584.98,0,358.04675,0,0,145.38736,0.069616155
1992,Red Lake,1505,0,75.555,0,0,253.87328,0.13839368
1993,Red Lake,1475.71,0,41.975,0,0,305.9158445,0.16775373
1994,Red Lake,1176.74,0,1.25925,0,0,442.6154694,0.27311579
1995,Red Lake,1184.97,0,37.7775,0,0,679.07,0.357063704
1996,Red Lake,1207.77,0,37.7775,0,0,666.51,0.348582613
1997,Red Lake,1350.49,0,37.7775,0,0,699.0263874,0.334896007
1998,Red Lake,1360.46,0,37.7775,0,0,650.5649931,0.317534265
1999,Red Lake,1346.37,0,37.7775,0,0,711.435751,0.339492955
2000,Red Lake,1405.06,0,37.7775,0,73.7,716.7740003,0.353947042
2001,Red Lake,1448.72,0,8.395,0,3.54,668.6540001,0.31568645
2002,Red Lake,1448,0,8.395,0,16.71,778.4762961,0.353167926
2003,Red Lake,1468,0,8.395,0,0,708.4368637,0.324252349
2004,Red Lake,1404,0,8.395,0,0,496.099365,0.259942798
2005,Red Lake,1576,0,8.395,0,0,302.1544639,0.160162492
2006,Red Lake,1560.09,0,8.395,0,0,293.7899998,0.157758655
2007,Red Lake,1570.96,0,8.395,0,0,297.1999994,0.15837532
2008,Red Lake,1545.59,0,8.395,0,0,304.3299985,0.163766637
2009,Red Lake,1470,0,8.395,0,0,287.2616643,0.162693954
2010,Red Lake,1483,0,8.395,0,0,349.4499991,0.1898313
2011,Red Lake,1498,0,8.395,0,0,246.9400008,0.140840171
2012,Red Lake,1501.4,0,8.395,0,0,302.9000023,0.167099265
2013,Red Lake,1512,0,8.395,0,0,323.7,0.175533256
2014,Red Lake,1523,0,8.4,0,0,401.6,0.207759959
2015,Red Lake,1569,0,8.4,0,0,219.2,0.122008238
