file_name,status,prefix,type,description,output_datasets,github_issue
stl_fetch_analyses.R,Deprecated,stl,data processing,"StreetLight Data - fetch, clean, and save analysis results directly using streetlightR","county21_data.RDS, ctu21_data.RDS, county21_truck.RDS, county21_truck_data.rds, county21_truck_calib_data.rds",
stl_run_analyses.R,Deprecated,stl,data processing,StreetLight Data - create StreetLight analyses using streetlightR. Analysis identifying information saved,"county21.RDS, ctu21.RDS, county21_truck.RDS, county21_truck_calib.RDS",
stl_upload_zone_sets.R,Deprecated,stl,data processing,"StreetLight Data - upload county, CTU, and calibration datasets to StreetLight platform. Some data are then edited within the StreetLight Platform. ",None,
tbi_cdp_passenger_mode_split.R,Needs update,tbi,data processing,TBI - estimate proportion of passenger travel for each mode using 2023 TBI data,None,https://github.com/Metropolitan-Council/ghg-cprg/issues/125
tbi_survey_stats.R,Needs update,tbi,data processing,TBI - estimate survey coverage of CPRG  counties,tbi_home_county.RDS,https://github.com/Metropolitan-Council/ghg-cprg/issues/125
tbi_trip_length.R,Needs update,tbi,data processing,TBI - estimate trip lengths within and between CPRG counties using 2021 TBI data,"tbi_mean_trip_length.RDS, tbi_od_ordered_trip_length.RDS, tbi_regional_trip_length_avg.RDS, trip21.RDS",https://github.com/Metropolitan-Council/ghg-cprg/issues/125
tbi_vehicle_stats.R,Needs update,tbi,data processing,TBI - find average vehicle age by fuel type for CPRG counties using 2021 TBI data,"tbi_veh_age_orig_fuel_binned.RDS, tbi_veh_age_fuel_binned.RDS, tbi_vehicle_age.RDS, tbi_vehicle_orig_fuel_age.RDS, tbi_vehicle_fuel_age.RDS, veh21.RDS",https://github.com/Metropolitan-Council/ghg-cprg/issues/125
vmt_emissions.R,Deprecated,vmt,compilation,StreetLight Data - calculate passenger and commercial vehicle emisions values at the county level,"county_vmt_emissions.RDS, county_vmt_emissions_meta.RDS",
wisdot_stations.R,Active,wisdot,data processing,Fetch and compile WisDOT station passenger/medium/heavy duty traffic ratios and assign to segments,"wi_stations_ratios_lines.RDS, wi_stations_ratios_points.RDS, wi_osm_meta.RDS",
wisdot_vmt_county.R,Active,wisdot,data processing,Comile WisDOT VMT county reports into time series data table,wisdot_vmt_county.RDS,
x_epa_scrap.R,Deprecated,x,scrap,Scrap code from various EPA sources. May be useful in the future,,
