,,Year of Year,Year of Year,Year of Year,Year of Year,Year of Year,Year of Year,Year of Year,Year of Year,Year of Year,Year of Year,Year of Year,Year of Year,Year of Year,Year of Year,Year of Year,Year of Year
Sector,Sources (group),2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Commercial,Coal,"183,759","163,029","161,910","179,118","161,575","147,893","93,828","13,136","16,853","33,910","28,402","26,448","25,913","25,184","14,959","10,823"
Commercial,Natural gas,"5,405,072","4,676,454","4,987,417","5,714,045","5,423,417","4,991,451","5,211,267","4,687,771","6,095,505","6,356,848","5,294,210","5,175,952","5,626,406","6,274,431","6,229,943","5,620,791"
Commercial,Oil,"12,630,118","8,019,715","7,747,806","12,171,820","12,510,686","9,887,413","12,332,526","12,480,303","15,008,212","15,232,216","12,960,649","12,237,810","14,640,338","10,985,775","9,924,608","8,130,807"
Commercial,Other fossil fuel,"13,848","12,847","13,638","14,394","16,024","15,812","15,231","13,342","15,464","36,148","38,444","42,788","43,973","47,817","49,698","37,124"
Commercial,Air conditioning,"553,562","599,008","550,417","506,642","489,046","542,017","488,893","418,148","447,799","600,295","774,696","914,294","683,410","613,428","626,745","724,538"
Commercial,Limestone,"1,488",959,892,"1,158","1,142","1,198",924,84,120,287,321,378,310,7,105,105
Commercial,Medical use,"79,456","79,354","79,237","79,110","79,267","78,952","78,888","78,763","78,762","78,700","78,546","78,566","78,741","78,814","79,029","79,197"
Commercial,Solvent,"73,233","82,831","92,429","102,028","97,413","92,798","88,184","80,152","72,120","64,088","64,088","64,088","80,955","80,955","80,955","80,955"
