Abc Sort,Community Designation,Ctu Code,Ctu Id,Ctu Name,Ctu Type,Five Color,Year,$ Compost Emis T CO2e,$ Electricity Emis T CO2e,$ Electricity R MWh,$ Landfill Emis T CO2e,$ NG R Emis T CO2e,$ NG R Therms,$ Other Fuels Emis T CO2e,$ Passenger Veh Emis T CO2e,$ Transit Emis T CO2e,$ Trucks Emis T CO2e,Actual R E Emis T Co2E,Actual R E Mwh,Actual R Ng Emis T Co2E,Actual R Ng Therms,Composting Scope1 Co2E Tonnes,Composting Scope3 Co2E Tonnes,Est R E Emis T Co2E,Est R E Mwh,Est R Ng Emis T Co2E,Est R Ng Therms,Kerodfo Emis Tonnes Co2E,Kerodfo Res Use Mmbtu,Landfill Scope1 Co2E Tonnes,Landfill Scope3 Co2E Tonnes,Metrotransit Tonnes Co2E,Population,Prop Emis Tonnes Co2E,Prop Res Use Mmbtu,show,Total Co2 W Equiv Heavy,Total Co2 W Equiv Medium,Total Co2 W Equiv Personal,Wastwater Tonnes Co2E
56,Emerging Suburban Edge,10918,2393799,Chanhassen,C,4,2017,0.077544941,1.288124376,3.278840854,0.083411860,2.040596797,383.847197072,0.054608842,3.381455479,0,0.754069926,,,52963.689863569,9962754,0,2012.678933938,33433.268174343,85102.31437,38625.124071951,7265592.906,222.1969556,2969.205835,0,2164.954834286,0,25955,1195.17553,19366.42258,25955,16287.758472,3284.126446,87765.676964,2820.529146195
58,Suburban Edge,10972,2393809,Chaska,C,3,2017,0.078252229,1.679552186,2.964133147,0.112624764,1.378101881,259.228351694,0.036995674,2.846173586,0,0.601080384,,,,,0,2108.193299857,45248.815453879,79856.71112,37127.442764254,6983871.023,107.2674958,1433.409713,0,3034.223780017,0,26941,889.4329524,14412.22146,26941,13327.606573,2866.100049,76678.762576,3407.443071532
2,Diversified Rural,316,2393887,Afton,C,5,2017,0.033958866,1.964408363,5.341442601,0.001609010,0.040802907,7.675245513,0.273325389,2.764663430,,1.564044176,5800.897894743,15773.28,120.490983794,22665,0,100.280530116,5197.235245816,14131.8548,5127.319948965,964476.3698,160.9012437,2150.11457,0,4.751406744,,2953,646.2286295,10471.37965,2953,3973.793299,644.8291535,8164.051109,
4,Emerging Suburban Edge,1486,2393954,Andover,C,1,2017,0.028937454,1.853314677,3.270795340,0.026907846,1.841961077,346.482753311,0.038087663,2.402719347,,0.165265763,,,59808.476175730,11250295,0,939.599120200,60177.127548218,106202.7247,47908.135699112,9011777.159,222.1969556,2969.205835,0,873.697767358,,32470,1014.509461,16438.9401,32470,3350.145195,2016.034129,78016.297206,1794.723155413
6,Suburban,1720,2393964,Anoka,C,4,2017,0.029316292,1.483518554,2.618166054,0.021480253,1.365612272,256.878989289,0.102511948,3.515159129,0.020238679,0.805840583,,,24860.971404148,4676482,0,533.703091407,27007.455278840,47663.71302,22279.271369125,4190850.383,789.1822905,10545.80003,0,391.048008374,368.445156885,18205,1077.047716,17452.29942,18205,12456.679147,2213.648658,63993.471941,2224.980302422
8,Suburban,1900,2393967,Apple Valley,C,2,2017,0.059274264,1.933771080,3.421700655,0.126722952,1.793106001,337.292851550,0.029522571,2.803460591,,0.229692634,101254.187537975,179163.668,93888.823312036,17660991,0,3103.659753794,88909.235851936,157319.9608,77777.865631725,14630433.49,183.8871357,2457.273794,0,6635.340512936,,52361,1361.944208,22068.7141,52361,8037.574827,3989.361182,146792,4486.063498459
10,Suburban,2026,2393979,Arden Hills,C,1,2017,0.052930384,1.098584375,2.799676597,0.007967069,1.622839558,305.264820945,0.032458050,4.374309881,0,1.065426739,10951.787630927,27909.976,16178.087558667,3043185,0,527.663002048,12499.970323338,31855.42703,13033.344373492,2451641.948,191.5490996,2559.660202,0,79.423710097,0,9969,132.0252039,2139.314122,9969,8711.777618,1909.461548,43607.495207,1233.788425463
12,Suburban,4114,2394090,Bayport,C,4,2017,0.036618999,0.906859192,2.421701541,0.045485248,1.315166319,247.389835091,0.056405743,2.720104153,,1.087313536,3354.472151053,8957.874,4864.800212442,915095,0,135.453675880,3471.514913581,9270.428188,3451.424185137,649231.3922,76.61963986,1023.864081,0,168.249930719,,3699,132.0252039,2139.314122,3699,3651.058562,370.9142063,10061.665262,673.300329379
16,Rural Centers,4834,2394113,Belle Plaine,C,3,2017,0.027609056,1.321833415,3.439854314,0.017455094,1.496759214,281.548432251,0.034043158,3.127312378,,0.424605753,,,10692.847825528,2011382,0,197.239093443,9443.177917377,24574.31922,9860.385905283,1854791.45,0,0,0,124.699191083,,7144,243.2043229,3940.841804,7144,2071.169229,962.2142675,22341.519627,
22,Rural Centers,5554,2394156,Bethel,C,4,2017,0.029054538,2.665871126,4.704823723,0.005726946,1.457054352,274.079734870,0.144969991,2.909123110,,0.254005404,,,,,0,14.498214242,1330.269691956,2347.707038,727.070121744,136765.7877,30.64785594,409.5456324,0,2.857745885,,499,41.69216965,675.5728807,499,20.51430305,106.2343934,1451.652432,
