"year","sector","MT_CO2e"
2005,"Agriculture",1033997.70042427
2005,"Building Fuel",10714641.8598933
2005,"Electricity",25562658.3804022
2005,"Nature",-1335217.22019434
2005,"Transportation",16279279.9295071
2005,"Waste",1574566.54996429
2021,"Agriculture",1002886.52741508
2021,"Building Fuel",11694902.6752415
2021,"Electricity",14401223.9845308
2021,"Nature",-1327308.52333559
2021,"Transportation",12232220.3957906
2021,"Waste",1671235.49648566
