"Minnesota Emissions, Waste Management, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Landfills",1.5835526120064,1.693824606418,1.6616177782904,1.565494267372,1.5141860567764,1.5059347379216,1.7018193662288,1.75118382376,1.743357593082,1.7822454236804,1.6740587858372,1.7294890547088,1.6339147277096,1.7448345729584,1.7125373975472,1.6905469635628,1.778712940018,1.6735668636988,1.5638749012796,1.6024675121308,1.4361706167564,1.443427496966,1.4747006961092,1.4217215993092,1.4811660697988,1.5040995363716,1.3095112831612,1.3449567873812,1.3875848567588,1.51672365313,1.3225770665464,1.3144335205008
"Wastewater treatment",0.7359852605457,0.7483692894039999,0.7639986419491,0.7679609778333001,0.7843587179417999,0.7806850700118,0.7838618279828999,0.7877243711976001,0.7958153943282,0.811620935788,0.8138685663546,0.8037836544756,0.8112803186808,0.8101717919632,0.8071258804931,0.8085887200116,0.8233405907599001,0.8296125767828,0.8334066864062,0.8269482801592001,0.8336336863442999,0.8440670536006,0.8586510865871,0.8488626971405,0.8423520095143999,0.8446084451107,0.8502464865432999,0.8537860759384,0.8585869190176,0.857336505326,0.8590587444081,0.847039419599
"Composting",0.0135252436789,0.0154574213519,0.0173895990249,0.0222200431795,0.0273081110414,0.0309148427038,0.0351334306137,0.038868974089999994,0.0423569734432,0.0474450412786,0.0530161535741,0.0599548923814,0.0673352618435,0.0765197318091,0.0818537792712,0.08042916014109999,0.0795649438867,0.11212451286,0.1436505145766,0.1000585691751,0.0634134850855,0.021445584753100003,0.0324557613984,0.0374084926235,0.0455025089406,0.0534756699571,0.0651797915949,0.0682113741115,0.0617638988493,0.060908181816399995,0.060344761998,0.060455352544900004
"Anaerobic digestion",0.0004132420404,0.0005165525512,0.0007231735728,0.0007231735728,0.0008264840836,0.0010331051024,0.0010331051024,0.0010331051024,0.0010331051024,0.001239726124,0.001239726124,0.001239726124,0.001239726124,0.001239726124,0.001239726124,0.001239726124,0.0013430366348,0.0013430366348,0.0016529681644,0.001859589186,0.0019628996968,0.0026860732696,0.0028926942884,0.0039257993936,0.004339041434,0.0052429726972,0.0048092371516,0.0043710436588,0.0043960064596,0.0043466645432,0.0043466645432,0.0043466645432
"Total",2.3334763582714007,2.4581678697251004,2.4437291928372,2.3563984619576,2.3266793698432,2.3185677557396005,2.5218477299277997,2.5788102741500003,2.5825630659558003,2.642551126871,2.5421832318899003,2.5944673276898,2.5137700343579,2.6327658228547004,2.6027567834355003,2.5808045698395,2.6829615112994,2.6166469899763998,2.5425850704268003,2.5313339506511006,2.3351806878829997,2.3116262085893,2.3687002383831004,2.3119185884667997,2.3733596296878,2.4074266241366002,2.229746798451,2.2713252810899,2.3123316810852996,2.4393150048156,2.2463272374957,2.2262749571879
