"Wisconsin Emissions, Waste Management, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Landfills",4.5873898153776,4.9171427412268,5.2770079776372,5.0083446066976,4.8791759910684,4.8920684643572,5.4537934023748,5.6133228900336,5.409441716588,4.9467920897612,4.8086959294248,4.7833404484572,4.6146789646608,4.6335262611596,4.6959505527284,4.6702967733772,4.6632143758284,4.5818894060184,4.4377347244132,4.1741757323756,2.72040331906,2.735151885634,2.7988134736912,2.6320274707608,2.4891044055136,2.5008497586324,2.5083490595688,2.5870631764404,2.4502176385932,2.3916337713212,2.3808945184052,2.4218692425872
"Wastewater treatment",0.8431709634678999,0.8543884396968,0.8690643302242,0.8719796256205,0.8879916464701001,0.8718679263905,0.8685020720483001,0.8699166498216999,0.8708204735094,0.8769737982554,0.8698977323118999,0.8503133572804,0.8533220535988,0.8501074245486,0.8465432868636,0.8436461828899,0.8475109177249001,0.8478229411516001,0.8406450986146999,0.8247801860770001,0.8241457894837001,0.8246325016564,0.8314187682399999,0.8203056689728,0.8154635308693,0.816446528014,0.8182130050167999,0.8196729556198,0.8223260887004,0.8159695407789,0.8093938792174,0.8026255730286
"Composting",0.0076340566032000005,0.008724636127300001,0.0098152156277,0.0125416644289,0.0154135238097,0.017449272230900002,0.019830370840700003,0.0219388245782,0.0239075568797,0.026779416287,0.029923920542900002,0.0349895679189,0.040330850865999995,0.0490589023329,0.0559505726669,0.057495003157,0.0594788260079,0.0537267398481,0.0461216194205,0.06295058867299999,0.08028801489420001,0.0527386515238,0.0279176500256,0.0736208468762,0.057548427167199996,0.0402101729308,0.0235604022159,0.0249133705489,0.0227208780344,0.022572210782099998,0.022534284953500003,0.0225884271796
"Anaerobic digestion",0.0010626223916,0.0013282779888,0.001859589186,0.001859589186,0.0021252447832,0.0026565559804,0.0026565559804,0.0026565559804,0.0026565559804,0.0031878671748,0.0031878671748,0.0031878671748,0.0031878671748,0.0031878671748,0.0031878671748,0.0031878671748,0.0034535227748,0.0034535227748,0.0042504895664,0.0047818007636,0.0050474563608,0.0069070455468,0.007438356744,0.0100949127244,0.011157535116,0.0134819297928,0.0123666098192,0.0112398265504,0.0113040166092,0.0111771373952,0.0111771373952,0.0111771373952
"Total",5.4392574578402995,5.7815840950397,6.1577471126751,5.894725485933,5.7847064061314,5.784042218959001,6.344782401244201,6.5078349204139,6.3068263029575,5.8537331714783996,5.7117054494544,5.6718312408313,5.511519736300399,5.535880455215901,5.6016322794337,5.574625826598901,5.573657642336,5.4868926097929,5.3287519320148,5.0666883078891995,3.6298845797987003,3.6194300843610003,3.6655882487008,3.5360488993342,3.3732738986660995,3.3709883893700003,3.3624890766207,3.4428893291595,3.3065686219372004,3.2413526602774003,3.2239998199713007,3.2582603801906003
