ctu_name,ctu_id,year,utility_id,customer_class_name,customer_class_id,number_of_customers,mwh_per_year
Columbia Heights,2393607,2015,85,Street Lighting - Metered,9,,14178
Columbia Heights,2393607,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,53333
Columbia Heights,2393607,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,550964
Columbia Heights,2393607,2015,85,Total,5,8909,100816342.9
Coon Rapids,2393628,2015,85,Business,7,750,142423527
Coon Rapids,2393628,2015,85,Residential,1,7313,53451024.04
Coon Rapids,2393628,2015,85,Street Lighting - Metered,9,,41321
Coon Rapids,2393628,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,242209
Coon Rapids,2393628,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,583974
Coon Rapids,2393628,2015,85,Total,5,8063,196742055.1
Cottage Grove,2393644,2015,85,Business *,8,832,89264700.77
Cottage Grove,2393644,2015,85,Residential,1,12306,112227733.8
Cottage Grove,2393644,2015,85,Street Lighting - Metered,9,,628512
Cottage Grove,2393644,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,606013
Cottage Grove,2393644,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,181055
Cottage Grove,2393644,2015,85,Total,5,13138,202908014.6
Crystal,2393683,2015,85,Business,7,868,48214277.56
Crystal,2393683,2015,85,Residential,1,9561,64665132.02
Crystal,2393683,2015,85,Street Lighting - Metered,9,,170362
Crystal,2393683,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,60129
Crystal,2393683,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,388866
Crystal,2393683,2015,85,Total,5,10429,113498766.6
Eagan,2394586,2015,85,Business,7,1095,321713676
Eagan,2394586,2015,85,Residential,1,4397,28312820.02
Eagan,2394586,2015,85,Street Lighting - Metered,9,,284733
Eagan,2394586,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,4574
Eagan,2394586,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,249943
Eagan,2394586,2015,85,Total,5,5492,350565746
Eden Prairie,2394614,2015,85,Commercial,2,2302,161305311.2
Eden Prairie,2394614,2015,85,Industrial,3,674,403121605
Eden Prairie,2394614,2015,85,Residential,1,23928,204989556.1
Eden Prairie,2394614,2015,85,Street Lighting - Metered,9,,1168403
Eden Prairie,2394614,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,151243
Eden Prairie,2394614,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,2332641
Eden Prairie,2394614,2015,85,Total,5,26904,773068759.4
Edina,2394621,2015,85,Commercial,2,1980,139097577.8
Edina,2394621,2015,85,Industrial,3,396,243712981
Edina,2394621,2015,85,Residential,1,21705,196120276.1
Edina,2394621,2015,85,Street Lighting - Metered,9,,934078
Edina,2394621,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,334593
